Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
37,-1,20,"(1, 0)","(0, 0);(1, 0);(1, 1);(2, 1);(2, 0);(2, 0);(2, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0)","(0, 0)",0.8307187014821328,False
38,-1,20,"(4, 1)","(0, 1);(0, 0);(0, 0);(0, 1);(0, 0);(1, 0);(0, 0);(0, 0);(0, 1);(1, 1);(0, 1);(0, 1);(0, 2);(1, 2);(2, 2);(1, 2);(2, 2);(3, 2);(4, 2);(4, 1)","(5, 1)",0.8265651079747222,False
39,-1,20,"(2, 1)","(1, 0);(1, 1);(2, 1);(3, 1);(4, 1);(4, 2);(4, 1);(3, 1);(2, 1);(2, 0);(2, 1);(2, 0);(3, 0);(2, 0);(2, 0);(3, 0);(3, 0);(3, 0);(3, 1);(2, 1)","(3, 1)",0.8224322824348486,False
40,-1,20,"(3, 0)","(1, 0);(2, 0);(2, 1);(2, 0);(2, 0);(2, 1);(1, 1);(2, 1);(2, 0);(2, 1);(3, 1);(3, 2);(4, 2);(4, 3);(5, 3);(4, 3);(4, 2);(3, 2);(3, 1);(3, 0)","(2, 0)",0.8183201210226743,False
41,10,20,"(5, 5)","(1, 0);(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(2, 2);(3, 2);(3, 3);(3, 2);(4, 2);(4, 1);(4, 2);(4, 1);(4, 2);(4, 3);(5, 3);(5, 4);(5, 5);(5, 5)","(5, 4)",0.8142285204175609,True
42,-2,20,"(2, 1)","(0, 0);(1, 0);(1, 1);(1, 0);(2, 0);(2, 1);(2, 0);(2, 1);(2, 0);(1, 0);(1, 0);(1, 0);(0, 0);(1, 0);(1, 0);(0, 0);(0, 0);(0, 1);(1, 1);(2, 1)","(3, 1)",0.810157377815473,False
43,-3,20,"(0, 0)","(1, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(0, 0);(1, 0);(1, 0);(2, 0);(1, 0);(1, 1);(2, 1);(2, 0);(1, 0);(1, 1);(1, 0);(1, 1);(0, 1);(0, 0)","(1, 0)",0.8061065909263957,False
44,0,20,"(0, 0)","(0, 1);(0, 0);(0, 1);(0, 0);(0, 0);(1, 0);(0, 0);(1, 0);(0, 0);(0, 0);(0, 1);(0, 0);(1, 0);(2, 0);(2, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 0)","(1, 0)",0.8020760579717637,False
45,-1,20,"(4, 3)","(1, 0);(0, 0);(0, 0);(1, 0);(1, 0);(2, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 2);(2, 2);(2, 3);(3, 3);(4, 3);(4, 4);(4, 3)","(4, 4)",0.798065677681905,False
46,0,20,"(4, 5)","(0, 0);(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(0, 5);(0, 5);(0, 5);(0, 5);(0, 4);(0, 5);(0, 5);(1, 5);(2, 5);(2, 5);(3, 5);(4, 5);(3, 5);(4, 5)","(5, 5)",0.7940753492934954,False
47,-2,20,"(3, 4)","(0, 1);(1, 1);(1, 2);(0, 2);(0, 2);(1, 2);(2, 2);(1, 2);(0, 2);(1, 2);(2, 2);(2, 1);(1, 1);(1, 2);(2, 2);(3, 2);(3, 3);(4, 3);(4, 4);(3, 4)","(4, 4)",0.7901049725470279,False
48,-3,20,"(3, 2)","(1, 0);(2, 0);(2, 1);(2, 0);(1, 0);(1, 0);(1, 1);(1, 2);(1, 3);(0, 3);(1, 3);(1, 2);(2, 2);(2, 1);(1, 1);(2, 1);(1, 1);(1, 2);(2, 2);(3, 2)","(3, 3)",0.7861544476842928,False
49,-1,20,"(2, 1)","(0, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(1, 0);(2, 0);(2, 0);(2, 1);(2, 2);(2, 1);(1, 1);(2, 1)","(2, 0)",0.7822236754458713,False
50,0,20,"(4, 3)","(1, 0);(1, 0);(2, 0);(3, 0);(3, 1);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 1);(5, 2);(5, 3);(5, 2);(5, 3);(4, 3)","(5, 3)",0.778312557068642,False
51,5,20,"(3, 5)","(0, 1);(0, 1);(0, 0);(1, 0);(2, 0);(2, 1);(3, 1);(3, 0);(4, 0);(4, 1);(5, 1);(5, 1);(5, 2);(5, 3);(4, 3);(4, 4);(4, 5);(5, 5);(4, 5);(3, 5)","(3, 5)",0.7744209942832988,False
52,0,20,"(4, 0)","(1, 0);(2, 0);(3, 0);(3, 1);(2, 1);(2, 2);(3, 2);(4, 2);(3, 2);(2, 2);(2, 3);(2, 2);(3, 2);(3, 1);(3, 0);(4, 0);(3, 0);(4, 0);(3, 0);(4, 0)","(3, 0)",0.7705488893118823,False
53,-4,20,"(1, 1)","(0, 0);(1, 0);(2, 0);(3, 0);(2, 0);(2, 1);(1, 1);(1, 0);(1, 0);(0, 0);(1, 0);(2, 0);(2, 1);(1, 1);(2, 1);(3, 1);(2, 1);(1, 1);(2, 1);(1, 1)","(1, 0)",0.7666961448653229,False
54,0,20,"(5, 0)","(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 0);(2, 0);(2, 0);(3, 0);(4, 0);(4, 0);(4, 0);(4, 0);(4, 1);(3, 1);(3, 0);(4, 0);(5, 0);(5, 0)","(5, 0)",0.7628626641409962,False
55,-1,20,"(5, 0)","(0, 1);(0, 2);(0, 1);(0, 0);(1, 0);(1, 1);(2, 1);(3, 1);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 1);(5, 1);(5, 0);(5, 0)","(5, 1)",0.7590483508202912,False
56,-1,20,"(3, 2)","(0, 1);(1, 1);(2, 1);(2, 0);(2, 1);(2, 0);(3, 0);(2, 0);(2, 0);(2, 1);(3, 1);(4, 1);(4, 0);(3, 0);(4, 0);(4, 1);(4, 2);(4, 1);(4, 2);(3, 2)","(3, 3)",0.7552531090661897,False
57,-1,20,"(5, 0)","(1, 0);(1, 1);(0, 1);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(2, 1);(3, 1);(3, 0);(3, 0);(3, 1);(4, 1);(3, 1);(4, 1);(4, 0);(5, 0);(5, 0);(5, 0)","(5, 0)",0.7514768435208588,False
58,-1,20,"(4, 1)","(0, 0);(0, 1);(1, 1);(1, 0);(0, 0);(1, 0);(2, 0);(2, 0);(1, 0);(2, 0);(1, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(4, 0);(4, 0);(4, 1)","(5, 1)",0.7477194593032545,False
59,0,20,"(5, 0)","(0, 0);(0, 1);(0, 0);(1, 0);(1, 0);(0, 0);(1, 0);(2, 0);(2, 1);(2, 0);(2, 0);(3, 0);(4, 0);(5, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0)","(4, 0)",0.7439808620067382,False
60,0,20,"(5, 0)","(0, 1);(0, 0);(0, 0);(1, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(3, 0);(2, 0);(3, 0);(3, 1);(4, 1);(4, 0);(4, 0);(4, 1);(4, 0);(5, 0)","(5, 0)",0.7402609576967045,False
61,-1,20,"(1, 3)","(0, 1);(0, 0);(0, 1);(0, 0);(1, 0);(2, 0);(3, 0);(2, 0);(2, 1);(2, 0);(2, 1);(1, 1);(0, 1);(0, 0);(0, 0);(0, 1);(0, 2);(0, 3);(0, 3);(1, 3)","(1, 4)",0.736559652908221,False
62,0,20,"(4, 1)","(1, 0);(2, 0);(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(4, 2);(3, 2);(3, 3);(4, 3);(4, 2);(4, 1);(5, 1);(5, 1);(5, 2);(4, 2);(3, 2);(4, 2);(4, 1)","(5, 1)",0.7328768546436799,False
