Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon
84,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.6563549768288433
85,0,4,"(0, 1)","(0, 0);(0, 1);(0, 0);(0, 1)","(0, 0)",0.653073201944699
86,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(1, 0)",0.6498078359349755
87,-5,4,"(1, 0)","(0, 0);(0, 1);(1, 1);(1, 0)","(2, 0)",0.6465587967553006
88,0,4,"(2, 1)","(1, 0);(1, 0);(2, 0);(2, 1)","(2, 0)",0.6433260027715241
89,0,4,"(2, 0)","(0, 0);(0, 0);(1, 0);(2, 0)","(1, 0)",0.6401093727576664
90,0,4,"(0, 0)","(1, 0);(1, 0);(0, 0);(0, 0)","(0, 0)",0.6369088258938781
91,0,4,"(1, 0)","(0, 0);(0, 0);(0, 0);(1, 0)","(2, 0)",0.6337242817644086
92,0,4,"(0, 1)","(0, 0);(0, 0);(0, 0);(0, 1)","(0, 2)",0.6305556603555866
93,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.6274028820538087
94,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(1, 0)",0.6242658676435396
95,-5,4,"(1, 0)","(0, 0);(0, 1);(1, 1);(1, 0)","(2, 0)",0.6211445383053219
96,0,4,"(1, 2)","(0, 1);(0, 2);(0, 2);(1, 2)","(1, 1)",0.6180388156137953
97,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.6149486215357263
98,-5,4,"(1, 1)","(1, 0);(2, 0);(2, 1);(1, 1)","(0, 1)",0.6118738784280476
99,0,4,"(0, 2)","(0, 1);(0, 1);(0, 2);(0, 2)","(1, 2)",0.6088145090359074
100,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.6057704364907278
