Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
49,-1,20,"(1, 5)","(1, 0);(0, 0);(0, 0);(0, 1);(1, 1);(1, 2);(0, 2);(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(0, 5);(0, 4);(0, 5);(0, 5);(0, 5);(0, 4);(1, 4);(1, 5)","(2, 5)",0.7822236754458713,False
50,0,20,"(4, 0)","(1, 0);(0, 0);(1, 0);(2, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(2, 5);(2, 5);(2, 4);(3, 4);(3, 3);(4, 3);(4, 2);(4, 1);(4, 0)","(3, 0)",0.778312557068642,False
51,0,20,"(5, 3)","(1, 0);(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 2);(4, 3);(4, 2);(4, 3);(4, 4);(5, 4);(5, 4);(5, 3);(5, 2);(5, 2);(5, 2);(5, 3)","(4, 3)",0.7744209942832988,False
52,0,20,"(5, 2)","(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(2, 1);(2, 2);(3, 2);(3, 3);(4, 3);(3, 3);(4, 3);(4, 2);(4, 1);(5, 1);(4, 1);(5, 1);(5, 2)","(4, 2)",0.7705488893118823,False
53,-2,20,"(4, 2)","(0, 0);(1, 0);(1, 0);(1, 1);(1, 2);(0, 2);(0, 3);(0, 2);(1, 2);(1, 1);(2, 1);(2, 2);(2, 1);(3, 1);(4, 1);(4, 2);(5, 2);(5, 1);(4, 1);(4, 2)","(4, 3)",0.7666961448653229,False
54,0,20,"(5, 0)","(0, 1);(0, 1);(0, 0);(0, 0);(1, 0);(0, 0);(0, 0);(0, 1);(0, 2);(1, 2);(2, 2);(3, 2);(3, 1);(3, 0);(4, 0);(4, 1);(4, 0);(5, 0);(5, 0);(5, 0)","(5, 0)",0.7628626641409962,False
55,0,20,"(4, 1)","(1, 0);(2, 0);(2, 0);(3, 0);(4, 0);(4, 0);(5, 0);(4, 0);(5, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 1);(4, 1)","(4, 0)",0.7590483508202912,False
56,0,20,"(4, 0)","(1, 0);(1, 0);(0, 0);(1, 0);(1, 0);(2, 0);(1, 0);(0, 0);(1, 0);(2, 0);(3, 0);(2, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(3, 0);(4, 0)","(5, 0)",0.7552531090661897,False
57,-3,20,"(3, 3)","(1, 0);(1, 1);(1, 2);(1, 1);(1, 0);(0, 0);(1, 0);(2, 0);(1, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 2);(0, 2);(1, 2);(2, 2);(3, 2);(3, 3)","(3, 2)",0.7514768435208588,False
58,0,20,"(5, 0)","(0, 0);(1, 0);(2, 0);(2, 0);(2, 1);(3, 1);(3, 2);(3, 1);(4, 1);(5, 1);(5, 1);(5, 0);(4, 0);(3, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0)","(5, 0)",0.7477194593032545,False
59,0,20,"(4, 0)","(0, 0);(1, 0);(2, 0);(2, 0);(3, 0);(4, 0);(5, 0);(4, 0);(4, 1);(3, 1);(4, 1);(5, 1);(5, 0);(5, 1);(4, 1);(4, 2);(3, 2);(4, 2);(4, 1);(4, 0)","(4, 0)",0.7439808620067382,False
60,0,20,"(1, 0)","(1, 0);(1, 0);(2, 0);(1, 0);(2, 0);(2, 0);(2, 1);(3, 1);(2, 1);(2, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 0)","(1, 0)",0.7402609576967045,False
