,Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
558,559,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(3, 5);(4, 5);(5, 5)","(5, 5)",0.0606879037898323,True
559,560,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(3, 5);(4, 5);(5, 5)","(5, 5)",0.0603844642708832,True
560,561,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(3, 5);(4, 5);(5, 5)","(5, 5)",0.0600825419495287,True
561,562,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(5, 3);(5, 4);(5, 5)","(5, 5)",0.0597821292397811,True
562,563,5,16,"(5, 5)","(1, 0);(2, 0);(3, 0);(2, 0);(3, 0);(4, 0);(4, 1);(4, 2);(4, 3);(4, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 5)","(5, 5)",0.0594832185935822,True
563,564,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0591858025006143,True
564,565,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0588898734881112,True
565,566,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0585954241206706,True
566,567,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(3, 5);(4, 5);(5, 5)","(5, 5)",0.0583024470000673,True
567,568,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.058010934765067,True
568,569,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(5, 3);(5, 4);(5, 5)","(5, 5)",0.0577208800912416,True
569,570,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0574322756907854,True
570,571,5,11,"(5, 5)","(0, 1);(0, 2);(1, 2);(2, 2);(3, 2);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0571451143123315,True
571,572,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0568593887407698,True
572,573,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(3, 5);(4, 5);(5, 5)","(5, 5)",0.056575091797066,True
573,574,5,12,"(5, 5)","(0, 1);(0, 2);(0, 2);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(3, 5);(4, 5);(5, 5)","(5, 5)",0.0562922163380806,True
574,575,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(4, 0);(4, 1);(4, 2);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0560107552563902,True
575,576,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(2, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0557307014801083,True
576,577,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 4)",0.0554520479727078,True
577,578,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(5, 3);(5, 4);(5, 5)","(5, 5)",0.0551747877328442,True
578,579,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.05489891379418,True
579,580,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0546244192252091,True
580,581,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0543512971290831,True
581,582,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(2, 4);(2, 5);(3, 5);(4, 5);(5, 5)","(5, 5)",0.0540795406434376,True
582,583,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(3, 5);(4, 5);(5, 5)","(5, 5)",0.0538091429402204,True
583,584,5,13,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0535400972255193,True
584,585,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0532723967393917,True
585,586,5,13,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(1, 5);(2, 5);(3, 5);(4, 5);(5, 5)","(5, 5)",0.0530060347556948,True
586,587,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0527410045819163,True
587,588,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0524772995590067,True
588,589,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0522149130612117,True
589,590,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(1, 4);(2, 4);(3, 4);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0519538384959056,True
590,591,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0516940693034261,True
591,592,5,15,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 0);(3, 1);(3, 2);(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5)","(5, 5)",0.051435598956909,True
592,593,5,13,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(3, 5);(4, 5);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0511784209621244,True
593,594,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(4, 2);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0509225288573138,True
594,595,5,13,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0506679162130272,True
595,596,5,13,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0504145766319621,True
596,597,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0501625037488023,True
597,598,5,14,"(5, 5)","(1, 0);(0, 0);(0, 1);(0, 2);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0499116912300583,True
598,599,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.049662132773908,True
599,600,5,12,"(5, 5)","(1, 0);(2, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0494138221100385,True
